年月,件数,平米単価,価格,専有面積,築年数,物件種別,販売状況,都道府県,地域
2020年3月,212,118.04,6782,57.45,18.34,中古MS,成約,東京都,都心3区
2020年4月,98,115.52,6643,57.51,19.06,中古MS,成約,東京都,都心3区
2020年5月,104,110.41,6208,56.22,20.85,中古MS,成約,東京都,都心3区
2020年6月,165,110.96,6512,58.69,18.67,中古MS,成約,東京都,都心3区
2020年7月,209,120.13,6800,56.6,19.01,中古MS,成約,東京都,都心3区
2020年8月,159,125.75,7691,61.16,17.29,中古MS,成約,東京都,都心3区
2020年9月,192,127.94,7881,61.6,16.53,中古MS,成約,東京都,都心3区
2020年10月,263,120.32,6939,57.68,18.32,中古MS,成約,東京都,都心3区
2020年11月,216,128.45,7911,61.59,16.1,中古MS,成約,東京都,都心3区
2020年12月,155,129,7594,58.87,17.31,中古MS,成約,東京都,都心3区
2021年1月,200,132.09,8003,60.59,18.43,中古MS,成約,東京都,都心3区
2021年2月,243,120.57,6768,56.14,18.77,中古MS,成約,東京都,都心3区
2021年3月,259,133.31,8005,60.05,16.2,中古MS,成約,東京都,都心3区
2020年3月,449,62.44,3889,62.28,18.43,中古MS,成約,東京都,城東地区
2020年4月,180,62.09,4016,64.67,17.73,中古MS,成約,東京都,城東地区
2020年5月,190,61.69,3785,61.35,17.09,中古MS,成約,東京都,城東地区
2020年6月,383,60.52,3900,64.45,18.88,中古MS,成約,東京都,城東地区
2020年7月,381,64.14,4070,63.45,17.75,中古MS,成約,東京都,城東地区
2020年8月,357,63.46,4019,63.34,18.68,中古MS,成約,東京都,城東地区
2020年9月,392,64.26,4127,64.22,17.4,中古MS,成約,東京都,城東地区
2020年10月,424,63.31,3988,63,18.29,中古MS,成約,東京都,城東地区
2020年11月,444,65.87,4269,64.8,18.36,中古MS,成約,東京都,城東地区
2020年12月,287,64.6,4054,62.76,20.67,中古MS,成約,東京都,城東地区
2021年1月,408,68.65,4332,63.11,17.64,中古MS,成約,東京都,城東地区
2021年2月,408,68.07,4343,63.8,18.09,中古MS,成約,東京都,城東地区
2021年3月,484,68.99,4263,61.8,18.49,中古MS,成約,東京都,城東地区
2020年3月,402,82.13,5019,61.12,20.56,中古MS,成約,東京都,城南地区
2020年4月,149,78.37,4351,55.52,22,中古MS,成約,東京都,城南地区
2020年5月,189,81.58,4626,56.7,22.57,中古MS,成約,東京都,城南地区
2020年6月,306,81.28,5078,62.48,21.83,中古MS,成約,東京都,城南地区
2020年7月,312,82.03,5083,61.96,20.81,中古MS,成約,東京都,城南地区
2020年8月,318,80.3,4998,62.24,21.25,中古MS,成約,東京都,城南地区
2020年9月,322,80.59,4953,61.46,21.54,中古MS,成約,東京都,城南地区
2020年10月,339,83.66,5056,60.44,20.46,中古MS,成約,東京都,城南地区
2020年11月,346,83.53,5185,62.08,22.58,中古MS,成約,東京都,城南地区
2020年12月,246,84.38,5290,62.7,22.25,中古MS,成約,東京都,城南地区
2021年1月,324,85.03,5193,61.07,22.43,中古MS,成約,東京都,城南地区
2021年2月,349,90.25,5466,60.57,20,中古MS,成約,東京都,城南地区
2021年3月,422,87.37,5276,60.39,22.01,中古MS,成約,東京都,城南地区
2020年3月,222,87.62,4798,54.76,23.44,中古MS,成約,東京都,城西地区
2020年4月,111,87.07,4149,47.65,27.47,中古MS,成約,東京都,城西地区
2020年5月,121,87.61,4493,51.28,23.08,中古MS,成約,東京都,城西地区
2020年6月,224,90.66,4970,54.82,23.67,中古MS,成約,東京都,城西地区
2020年7月,237,93.94,4909,52.26,25.2,中古MS,成約,東京都,城西地区
2020年8月,191,94.7,5430,57.33,22.62,中古MS,成約,東京都,城西地区
2020年9月,224,96.99,5159,53.19,22.37,中古MS,成約,東京都,城西地区
2020年10月,236,96.77,5372,55.51,23.4,中古MS,成約,東京都,城西地区
2020年11月,240,96.68,5373,55.58,23.8,中古MS,成約,東京都,城西地区
2020年12月,177,99.99,5595,55.95,22.32,中古MS,成約,東京都,城西地区
2021年1月,240,96.8,5342,55.19,22.81,中古MS,成約,東京都,城西地区
2021年2月,219,96.04,5224,54.39,23.79,中古MS,成約,東京都,城西地区
2021年3月,290,103.58,5694,54.97,21.88,中古MS,成約,東京都,城西地区
2020年3月,282,68.07,3843,56.46,20.89,中古MS,成約,東京都,城北地区
2020年4月,134,65.6,3679,56.09,24.61,中古MS,成約,東京都,城北地区
2020年5月,102,68.61,4010,58.44,22.74,中古MS,成約,東京都,城北地区
2020年6月,233,68.71,4087,59.49,20.58,中古MS,成約,東京都,城北地区
2020年7月,214,74.21,4259,57.39,18.92,中古MS,成約,東京都,城北地区
2020年8月,247,66.6,4082,61.29,20.92,中古MS,成約,東京都,城北地区
2020年9月,236,75.04,4335,57.76,21.14,中古MS,成約,東京都,城北地区
2020年10月,277,71.03,4053,57.06,22.88,中古MS,成約,東京都,城北地区
2020年11月,262,74.2,4426,59.64,20.38,中古MS,成約,東京都,城北地区
2020年12月,173,74.24,4344,58.51,21.28,中古MS,成約,東京都,城北地区
2021年1月,280,69,3998,57.94,23.11,中古MS,成約,東京都,城北地区
2021年2月,266,74.7,4392,58.79,21.05,中古MS,成約,東京都,城北地区
2021年3月,323,77.46,4417,57.03,20.28,中古MS,成約,東京都,城北地区
2020年3月,363,40.35,2745,68.03,22.81,中古MS,成約,東京都,多摩地区
2020年4月,140,40.05,2695,67.3,23.16,中古MS,成約,東京都,多摩地区
2020年5月,176,41.27,2734,66.24,21.97,中古MS,成約,東京都,多摩地区
2020年6月,304,42.31,2989,70.64,20.78,中古MS,成約,東京都,多摩地区
2020年7月,329,43.93,3001,68.3,21.22,中古MS,成約,東京都,多摩地区
2020年8月,304,42.16,2894,68.64,22.24,中古MS,成約,東京都,多摩地区
2020年9月,347,43.16,3004,69.6,21.03,中古MS,成約,東京都,多摩地区
2020年10月,358,43.82,3020,68.91,22.98,中古MS,成約,東京都,多摩地区
2020年11月,352,40.71,2728,66.99,23.79,中古MS,成約,東京都,多摩地区
2020年12月,242,43.47,2955,67.97,22.9,中古MS,成約,東京都,多摩地区
2021年1月,323,43.69,2975,68.1,22.56,中古MS,成約,東京都,多摩地区
2021年2月,339,42.8,2909,67.97,23.34,中古MS,成約,東京都,多摩地区
2021年3月,443,43.05,2921,67.85,23.35,中古MS,成約,東京都,多摩地区
2020年3月,111,41.33,2937,71.06,20.26,中古MS,成約,埼玉県,さいたま市
2020年4月,45,41.39,2808,67.83,22.37,中古MS,成約,埼玉県,さいたま市
2020年5月,44,44.76,3073,68.65,19.91,中古MS,成約,埼玉県,さいたま市
2020年6月,86,43.83,3101,70.74,21.44,中古MS,成約,埼玉県,さいたま市
2020年7月,98,41.05,2754,67.09,23.37,中古MS,成約,埼玉県,さいたま市
2020年8月,90,42.28,2901,68.61,21.73,中古MS,成約,埼玉県,さいたま市
2020年9月,106,41.57,2771,66.67,21.28,中古MS,成約,埼玉県,さいたま市
2020年10月,118,42.66,2904,68.09,20.04,中古MS,成約,埼玉県,さいたま市
2020年11月,96,44.66,3185,71.31,19.7,中古MS,成約,埼玉県,さいたま市
2020年12月,87,41.77,2902,69.48,22.36,中古MS,成約,埼玉県,さいたま市
2021年1月,98,46.83,3201,68.36,19.05,中古MS,成約,埼玉県,さいたま市
2021年2月,108,41.39,2861,69.12,22.48,中古MS,成約,埼玉県,さいたま市
2021年3月,134,43.16,2903,67.25,23.23,中古MS,成約,埼玉県,さいたま市
2020年3月,75,39.74,2434,61.25,23.5,中古MS,成約,埼玉県,中央地区
2020年4月,41,35.49,2311,65.12,27.83,中古MS,成約,埼玉県,中央地区
2020年5月,39,43.22,2692,62.28,21.8,中古MS,成約,埼玉県,中央地区
2020年6月,72,38.76,2637,68.04,20.47,中古MS,成約,埼玉県,中央地区
2020年7月,69,39.4,2646,67.16,21.19,中古MS,成約,埼玉県,中央地区
2020年8月,75,37.31,2371,63.54,22.61,中古MS,成約,埼玉県,中央地区
2020年9月,66,41.76,2639,63.19,21.71,中古MS,成約,埼玉県,中央地区
2020年10月,67,40.19,2692,66.98,22.41,中古MS,成約,埼玉県,中央地区
2020年11月,81,39.13,2610,66.7,21.28,中古MS,成約,埼玉県,中央地区
2020年12月,61,45.47,2809,61.78,20.72,中古MS,成約,埼玉県,中央地区
2021年1月,98,43.7,2785,63.73,19.99,中古MS,成約,埼玉県,中央地区
2021年2月,90,42.73,2890,67.65,20.4,中古MS,成約,埼玉県,中央地区
2021年3月,84,41.2,2623,63.67,21.23,中古MS,成約,埼玉県,中央地区
2020年3月,121,30.3,2037,67.23,24.11,中古MS,成約,埼玉県,西部地区
2020年4月,54,24.16,1499,62.06,29.08,中古MS,成約,埼玉県,西部地区
2020年5月,48,24.49,1607,65.63,28.37,中古MS,成約,埼玉県,西部地区
2020年6月,93,28.68,2083,72.63,23.6,中古MS,成約,埼玉県,西部地区
2020年7月,105,27.71,1829,66,25.45,中古MS,成約,埼玉県,西部地区
2020年8月,99,27.65,1880,68.01,27.54,中古MS,成約,埼玉県,西部地区
2020年9月,108,30.62,2148,70.16,24.27,中古MS,成約,埼玉県,西部地区
2020年10月,114,27.06,1877,69.36,27.82,中古MS,成約,埼玉県,西部地区
2020年11月,110,32.19,2071,64.35,25.12,中古MS,成約,埼玉県,西部地区
2020年12月,90,29.5,2033,68.9,25.62,中古MS,成約,埼玉県,西部地区
2021年1月,111,32.42,2266,69.89,24.65,中古MS,成約,埼玉県,西部地区
2021年2月,126,30.94,2098,67.8,25.45,中古MS,成約,埼玉県,西部地区
